Abelabetimaka	Abelabeti-maka
Abelabetimaka	Abela-beti-maka
Abelakeramima	Abela-keramima
Abelamaima	Abela-maima
Abelamehola	Abela-mehola
Abelasitima	Abela-sitima
AbelEgyptiana	Abel-Egyptiana
Abialbona	Abi-albona
abidimpianaran	abidim-pianaran
abidimpianarana	abidim-pianarana
Adamihanekeba	Adami-hanekeba
adilahy	adi-lahy
Adonibezeka	Adoni-bezeka
Adonizedeka	Adoni-zedeka
afabaraka	afa-baraka
Afabaraka	Afa-baraka
afaboninahitra	afa-boninahitra
afajaza	afa-jaza
afaka	afa-ka
afakeloka	afa-keloka
afaketaheta	afa-ketaheta
afamaina	afa-maina
afamamindra	afa-mamindra
afamandeha	afa-mandeha
afamandositra	afa-mandositra
afamandroso	afa-mandroso
afamiakatra	afa-miakatra
afamiala	afa-miala
afamidìna	afa-midìna
afamita	afa-mita
afamitsangana	afa-mitsangana
afamiverina	afa-miverina
afamivoaka	afa-mivoaka
afanandeha	afa-nandeha
afanandositra	afa-nandositra
afanivoaka	afa-nivoaka
afapahoriana	afa-pahoriana
afapahotana	afa-pahotana
afapo	afa-po
afapotsiny	afa-potsiny
afatsaona	afa-tsaona
afatsasatra	afa-tsasatra
afatsiny	afa-tsiny
afatsy	afa-tsy
Afatsy	Afa-tsy
afontsilo	afon-tsilo
ahazoampahalalana	ahazoam-pahalalana
ahazoampitia	ahazoam-pitia
ahidratsy	ahi-dratsy
ahimaitso	ahi-maitso
ahimatiso	ahi-matiso
ahitampahendrena	ahitam-pahendrena
ahitandoza	ahitan-doza
ahitandralehilahy	ahitan-dralehilahy
ahoantsy	ahoan-tsy
aizimpito	aizim-pito
aizimpitonao	aizim-pitonao
akanimborona	akanim-borona
akanjomboninahiny	akanjom-boninahiny
akanjompanjakana	akanjom-panjakana
akanjompisorona	akanjo-mpisorona
akanjonifiko	akanjo-nifiko
akorambolafotsinao	akoram-bolafotsinao
akorambolafotsy	akoram-bolafotsy
akorambolamena	akoram-bolamena
akorambolamenanao	akoram-bolamenanao
alahelompo	alahelom-po
alahelondrainao	alahelon-drainao
alaimpanahy	alaim-panahy
alaintahaka	alain-tahaka
alatrano	ala-trano
alatranonay	ala-tranonay
alatranony	ala-tranony
alatsadrà	alatsa-drà
alimpandry	alim-pandry
alimpito	alim-pito
alinaavy	alina-avy
alindahy	alin-dahy
Almondiblataima	Almon-diblataima
alobatolampy	alo-batolampy
alombolamena	alom-bolamena
Alonabakota	Alona-bakota
alondrano	alon-drano
alondranomasina	alon-dranomasina
alondranonao	alon-dranonao
amambolana	amam-bolana
amamboninahitra	amam-boninahitra
amamboninahitry	amam-boninahitry
amampitarainan	amam-pitarainan
amampondro	amam-pondro
amandanitra	aman-danitra
amandavenona	aman-davenona
amandaza	aman-daza
amandrà	aman-drà
amandreniko	aman-dreniko
amandrenin	aman-drenin
amandreninareo	aman-dreninareo
amandrenindrazazavavy	aman-drenin-drazazavavy
amandreniny	aman-dreniny
amandreny	aman-dreny
amangadra	aman-gadra
amanjanak	aman-janak
amanjanakao	aman-janakao
amanjanakareo	aman-janakareo
amanjanakay	aman-janakay
amanjanako	aman-janako
amanjanany	aman-janany
amanjavona	aman-javona
amankarena	aman-karena
amankazo	aman-kazo
amankeloka	aman-keloka
amankenatra	aman-kenatra
amankery	aman-kery
amankintana	aman-kintana
amantanako	aman-tanako
amantànan	aman-tànan
amantanana	aman-tanana
amantanany	aman-tanany
amantànany	aman-tànany
amantelo	aman-telo
amantoky	aman-toky
amantsain	aman-tsain
amantsainao	aman-tsainao
amantsakaiza	aman-tsakaiza
amantsara	aman-tsara
ambaindaiko	ambain-daiko
ambaindain	ambain-dain
ambaindainao	ambain-dainao
ambaindainy	ambain-dainy
ambalahanao	am-balahanao
ambalahanay	am-balahanay
ambalahany	am-balahany
ambalan	am-balan
ambarapahafantany	ambara-pahafantany
ambarapahafantatrao	ambara-pahafantatrao
ambarapahafantatro	ambara-pahafantatro
ambarapahafatin	ambara-pahafatin
ambarapahafatinareo	ambara-pahafatinareo
ambarapahafatiny	ambara-pahafatiny
ambarapahalanin	ambara-pahalanin
ambarapahalany	ambara-pahalany
ambarapahamarain	ambara-pahamarain
ambarapahanisy	ambara-pahanisy
ambarapaharavany	ambara-paharavany
ambarapaharingany	ambara-paharingany
ambarapaharivan	ambara-paharivan
ambarapahatanterahany	ambara-pahatanterahany
ambarapahatanterak	ambara-pahatanterak
ambarapahatapiny	ambara-pahatapiny
ambarapahatapitrao	ambara-pahatapitrao
ambarapahatapitry	ambara-pahatapitry
ambarapahatongan	ambara-pahatongan
ambarapahatongany	ambara-pahatongany
ambarapahatsy	ambara-paha-tsy
Ambarapahatsy	Ambara-paha-tsy
ambarapahavitanao	ambara-pahavitanao
ambarapahavitany	ambara-pahavitany
ambarapahazavan	ambara-pahazavan
ambarapahazavaratsin	ambara-pahazavaratsin
ambarapahitany	ambara-pahitany
Ambarapahoviana	Ambara-pahoviana
