Genesisy	Gen.
Eksodosy	Eks.
Levitikosy	Lev.
Nomery	Nom.
Deotoronomia	Deo.
Josoa	Jos.
Mpitsara	Mpits.
Rota	Rota
1 Samoela	1 Sam.
2 Samoela	2 Sam.
1 Mpanjaka	1 Mpan.
2 Mpanjaka	2 Mpan.
1 Tantara	1 Tan.
2 Tantara	2 Tan.
Ezra	Ezra
Nehemia	Neh.
Estera	Est.
Joba	Joba
Salamo	Sal.
Ohabolana	Oha.
Mpitoriteny	Mpito.
Tonon-kiran'i Solomona	Ton.
Isaia	Isa.
Jeremia	Jer.
Fitomaniana	Fit.
Ezekiela	Ezek.
Daniela	Dan.
Hosea	Hos.
Joela	Joe.
Amosa	Amo.
Obadia	Oba.
Jona	Jona
Mika	Mik.
Nahoma	Nah.
Habakoka	Hab.
Zefania	Zef.
Hagay	Hag.
Zakaria	Zak.
Malakia	Mal.
Matio	Mat.
Marka	Mar.
Lioka	Lio.
Jaona	Jao.
Asan'ny Apostoly	Asan.
Romana	Rom.
1 Korintiana	1 Kor.
2 Korintiana	2 Kor.
Galatiana	Gal.
Efesiana	Ef.
Filipiana	Flp.
Kolosiana	Kol.
1 Tesaloniana	1 Tes.
2 Tesaloniana	2 Tes.
1 Timoty	1 Tim.
2 Timoty	2 Tim.
Titosy	Tit.
Filemona	Flm.
Hebreo	Heb.
Jakoba	Jak.
1 Petera	1 Pet.
2 Petera	2 Pet.
1 Jaona	1 Jao.
2 Jaona	2 Jao.
3 Jaona	3 Jao.
Joda	Joda
Apokalypsy	Apok.
