am\x{00AD}bavahadin	am-bavahadin
am\x{00AD}pofoako	am-pofoako
an\x{00AD}davaka	an-davaka
andevova\x{00AD}viny	andevovaviny
an\x{00AD}tsisin	an-tsisin
atai\x{00AD}ngeno	ataingeno
Benjami\x{00AD}na	Benjamina
bola\x{00AD}mena	bolamena
El\x{00AD}parana	El-parana
fihaona\x{00AD}na	fihaonana
hanamasi\x{00AD}na	hanamasina
hano\x{00AD}mpo	hanompo
Itompo\x{00AD}kolahy	Itompokolahy
Jako\x{00AD}ba	Jakoba
Kana\x{00AD}nita	Kananita
Ka\x{00AD}njo	Kanjo
lalan\x{00AD}kateloana	lalan-kateloana
Manan\x{00AD}kery	Manan-kery
Ma\x{00AD}ndehana	Mandehana
manodidi\x{00AD}na	manodidina
mihi\x{00AD}tsy	mihitsy
Mitsa\x{00AD}ngana	Mitsangana
Miva\x{00AD}hinia	Mivahinia
na\x{00AD}hoana	nahoana
nando\x{00AD}sitra	nandositra
na\x{00AD}taony	nataony
natao\x{00AD}ny	nataony
nianko\x{00AD}hoka	niankohoka
nitera\x{00AD}ka	niteraka
ni\x{00AD}tondra	nitondra
peta\x{00AD}ho	petaho
rave\x{00AD}hivavy	ravehivavy
re\x{00AD}hetra	rehetra
ta\x{00AD}miko	tamiko
Tsaro\x{00AD}vy	Tsarovy
vara\x{00AD}hina	varahina
vava\x{00AD}hady	vavahady
Volame\x{00AD}na	Volamena
